phase_harmonic_01	phase_harmonic_02	phase_harmonic_03	phase_harmonic_04	phase_harmonic_05	phase_harmonic_06	phase_harmonic_07	phase_harmonic_08	phase_harmonic_09	phase_harmonic_10	phase_harmonic_11	phase_harmonic_12	phase_harmonic_13	phase_harmonic_14	phase_harmonic_15	phase_harmonic_16	phase_svd_01	phase_svd_02	phase_svd_03	phase_svd_04	phase_svd_05
1.866727621	-1.866727621	1.866727621	-1.866727621	-1.866727621	1.866727621	-1.866727621	1.866727621	-1.866727621	1.866727621	-1.866727621	1.866727621	-1.866727621	1.866727621	-1.866727621	1.866727621	1.405450634	1.866727621	0.6643955653	-1.239261952	0.3174844169
-0.4087289215	0.4087289215	-0.4087289215	0.4087289215	0.4087289215	-0.4087289215	0.4087289215	-0.4087289215	0.4087289215	-0.4087289215	0.4087289215	-0.4087289215	0.4087289215	-0.4087289215	0.4087289215	-0.4087289215	-0.4644659989	-0.4087289215	1.282130809	-0.6140745541	0.05251165112
-0.2075807943	0.2075807943	-0.2075807943	0.2075807943	0.2075807943	-0.2075807943	0.2075807943	-0.2075807943	0.2075807943	-0.2075807943	0.2075807943	-0.2075807943	0.2075807943	-0.2075807943	0.2075807943	-0.2075807943	0.2477298116	-0.2075807943	1.498574748	-0.9726067444	0.8532504054
0.3259741083	-0.3259741083	0.3259741083	-0.3259741083	-0.3259741083	0.3259741083	-0.3259741083	0.3259741083	-0.3259741083	0.3259741083	-0.3259741083	0.3259741083	-0.3259741083	0.3259741083	-0.3259741083	0.3259741083	0.0131406528	0.3259741083	1.085410439	-0.5069894262	-0.1653250721
1.252564358	-1.252564358	1.252564358	-1.252564358	-1.252564358	1.252564358	-1.252564358	1.252564358	-1.252564358	1.252564358	-1.252564358	1.252564358	-1.252564358	1.252564358	-1.252564358	1.252564358	1.094111241	1.252564358	1.24939656	-0.3387288072	0.2853808547
-1.039216362	1.039216362	-1.039216362	1.039216362	1.039216362	-1.039216362	1.039216362	-1.039216362	1.039216362	-1.039216362	1.039216362	-1.039216362	1.039216362	-1.039216362	1.039216362	-1.039216362	-0.4096167468	-1.039216362	1.305186301	-0.3785135761	-0.3878807538
0.2756092239	-0.2756092239	0.2756092239	-0.2756092239	-0.2756092239	0.2756092239	-0.2756092239	0.2756092239	-0.2756092239	0.2756092239	-0.2756092239	0.2756092239	-0.2756092239	0.2756092239	-0.2756092239	0.2756092239	0.1358911886	0.2756092239	1.337026835	-1.319956945	1.24110606
1.753251383	-1.753251383	1.753251383	-1.753251383	-1.753251383	1.753251383	-1.753251383	1.753251383	-1.753251383	1.753251383	-1.753251383	1.753251383	-1.753251383	1.753251383	-1.753251383	1.753251383	2.108110216	1.753251383	1.22724215	-0.9664931394	0.6540590734
2.875845326	-2.875845326	2.875845326	-2.875845326	-2.875845326	2.875845326	-2.875845326	2.875845326	-2.875845326	2.875845326	-2.875845326	2.875845326	-2.875845326	2.875845326	-2.875845326	2.875845326	5.426026036	2.875845326	0.5297350571	-0.586094092	-0.4844364725
1.050053301	-1.050053301	1.050053301	-1.050053301	-1.050053301	1.050053301	-1.050053301	1.050053301	-1.050053301	1.050053301	-1.050053301	1.050053301	-1.050053301	1.050053301	-1.050053301	1.050053301	1.843451618	1.050053301	0.608786935	0.09912924932	-0.5276318735
-0.7709106065	0.7709106065	-0.7709106065	0.7709106065	0.7709106065	-0.7709106065	0.7709106065	-0.7709106065	0.7709106065	-0.7709106065	0.7709106065	-0.7709106065	0.7709106065	-0.7709106065	0.7709106065	-0.7709106065	0.296380685	-0.7709106065	1.51738179	-1.215866557	1.278123893
-1.500636424	1.500636424	-1.500636424	1.500636424	1.500636424	-1.500636424	1.500636424	-1.500636424	1.500636424	-1.500636424	1.500636424	-1.500636424	1.500636424	-1.500636424	1.500636424	-1.500636424	-0.5324250907	-1.500636424	1.247780887	-1.83756274	1.422016635
-1.39335585	1.39335585	-1.39335585	1.39335585	1.39335585	-1.39335585	1.39335585	-1.39335585	1.39335585	-1.39335585	1.39335585	-1.39335585	1.39335585	-1.39335585	1.39335585	-1.39335585	-0.4449818751	-1.39335585	1.144941009	-1.630255947	1.154257506
-1.049422955	1.049422955	-1.049422955	1.049422955	1.049422955	-1.049422955	1.049422955	-1.049422955	1.049422955	-1.049422955	1.049422955	-1.049422955	1.049422955	-1.049422955	1.049422955	-1.049422955	-0.8599069698	-1.049422955	1.002184769	-1.618136218	1.122642099
-0.2189068077	0.2189068077	-0.2189068077	0.2189068077	0.2189068077	-0.2189068077	0.2189068077	-0.2189068077	0.2189068077	-0.2189068077	0.2189068077	-0.2189068077	0.2189068077	-0.2189068077	0.2189068077	-0.2189068077	0.3566380792	-0.2189068077	0.9472507751	-1.519014969	0.6069328149
-0.5488414428	0.5488414428	-0.5488414428	0.5488414428	0.5488414428	-0.5488414428	0.5488414428	-0.5488414428	0.5488414428	-0.5488414428	0.5488414428	-0.5488414428	0.5488414428	-0.5488414428	0.5488414428	-0.5488414428	-0.7450104592	-0.5488414428	0.7101044744	-0.8180151015	-0.8330284725
